loggernet_variable,cr1000_name,var_type,link,research_name,logger,type,definition
HEAT_sort(2),heat_sort2,treatment,T2,heat_sort1,c3log,number,sorting variable (highest treatment)
HEAT_sort(2),heat_sort2,treatment,T2,heat_sort1,c4log,number,sorting variable (highest treatment)
HEAT_sort(3),heat_sort3,treatment,T3,heat_sort1,c3log,number,sorting variable (highest treatment)
HEAT_sort(3),heat_sort3,treatment,T3,heat_sort1,c4log,number,sorting variable (highest treatment)
HEAT_sort(4),heat_sort4,treatment,eT3,heat_sort1,c3log,number,sorting variable
HEAT_sort(5),heat_sort5,treatment,T1,heat_sort2,c3log,number,sorting variable
HEAT_sort(5),heat_sort5,treatment,T1,heat_sort2,c4log,number,sorting variable
HEAT_sort(6),heat_sort6,treatment,T2,heat_sort2,c3log,number,sorting variable
HEAT_sort(6),heat_sort6,treatment,T2,heat_sort2,c4log,number,sorting variable
HEAT_sort(7),heat_sort7,treatment,T3,heat_sort2,c3log,number,sorting variable
HEAT_sort(7),heat_sort7,treatment,T3,heat_sort2,c4log,number,sorting variable
HEAT_sort(8),heat_sort8,treatment,eT3,heat_sort2,c3log,number,sorting variable
LAG_B(1),lag_b1,treatment,T1,lag_b,c3log,number,sample spatial average of lag
LAG_B(1),lag_b1,treatment,T1,lag_b,c4log,number,sample spatial average of lag
LAG_B(2),lag_b2,treatment,T2,lag_b,c3log,number,sample spatial average of lag
LAG_B(2),lag_b2,treatment,T2,lag_b,c4log,number,sample spatial average of lag
LAG_B(3),lag_b3,treatment,T3,lag_b,c3log,number,sample spatial average of lag
LAG_B(3),lag_b3,treatment,T3,lag_b,c4log,number,sample spatial average of lag
LAG_B(4),lag_b4,treatment,eT3,lag_b,c3log,number,sample spatial average of lag
LAG_B_Avg(1),lag_b_avg1,treatment,T1,lag_b_avg,c3log,number,spatial average of lag
LAG_B_Avg(1),lag_b_avg1,treatment,T1,lag_b_avg,c4log,number,spatial average of lag
LAG_B_Avg(2),lag_b_avg2,treatment,T2,lag_b_avg,c3log,number,spatial average of lag
LAG_B_Avg(2),lag_b_avg2,treatment,T2,lag_b_avg,c4log,number,spatial average of lag
LAG_B_Avg(3),lag_b_avg3,treatment,T3,lag_b_avg,c3log,number,spatial average of lag
LAG_B_Avg(3),lag_b_avg3,treatment,T3,lag_b_avg,c4log,number,spatial average of lag
LAG_B_Avg(4),lag_b_avg4,treatment,eT3,lag_b_avg,c3log,number,spatial average of lag
LAG_R(1),lag_r1,treatment,T1,lag_r,c3log,number,running average of lag 
LAG_R(1),lag_r1,treatment,T1,lag_r,c4log,number,running average of lag 
LAG_R(2),lag_r2,treatment,T2,lag_r,c3log,number,running average of lag 
LAG_R(2),lag_r2,treatment,T2,lag_r,c4log,number,running average of lag 
LAG_R(3),lag_r3,treatment,T3,lag_r,c3log,number,running average of lag 
LAG_R(3),lag_r3,treatment,T3,lag_r,c4log,number,running average of lag 
LAG_R(4),lag_r4,treatment,eT3,lag_r,c3log,number,running average of lag 
Logger,logger,site,logger,logger,c3log,number,logger name
Logger,logger,site,logger,logger,c4log,number,logger name
M_AMB(1),m_amb1,treatment,T1,m_amb,c3log,number,slope of ambient
M_AMB(1),m_amb1,treatment,T1,m_amb,c4log,number,slope of ambient
M_AMB(2),m_amb2,treatment,T2,m_amb,c3log,number,slope of ambient
M_AMB(2),m_amb2,treatment,T2,m_amb,c4log,number,slope of ambient
M_AMB(3),m_amb3,treatment,T3,m_amb,c3log,number,slope of ambient
M_AMB(3),m_amb3,treatment,T3,m_amb,c4log,number,slope of ambient
M_AMB(4),m_amb4,treatment,eT3,m_amb,c3log,number,slope of ambient
M_Dif_A(1),m_dif_a1,treatment,T1,m_dif_a,c3log,number,slope of delta above
M_Dif_A(1),m_dif_a1,treatment,T1,m_dif_a,c4log,number,slope of delta above
M_Dif_A(2),m_dif_a2,treatment,T2,m_dif_a,c3log,number,slope of delta above
M_Dif_A(2),m_dif_a2,treatment,T2,m_dif_a,c4log,number,slope of delta above
M_Dif_A(3),m_dif_a3,treatment,T3,m_dif_a,c3log,number,slope of delta above
M_Dif_A(3),m_dif_a3,treatment,T3,m_dif_a,c4log,number,slope of delta above
M_Dif_A(4),m_dif_a4,treatment,eT3,m_dif_a,c3log,number,slope of delta above
M_LAG(1),m_lag1,treatment,T1,m_lag,c3log,number,slope of lag
M_LAG(1),m_lag1,treatment,T1,m_lag,c4log,number,slope of lag
M_LAG(2),m_lag2,treatment,T2,m_lag,c3log,number,slope of lag
M_LAG(2),m_lag2,treatment,T2,m_lag,c4log,number,slope of lag
M_LAG(3),m_lag3,treatment,T3,m_lag,c3log,number,slope of lag
M_LAG(3),m_lag3,treatment,T3,m_lag,c4log,number,slope of lag
M_LAG(4),m_lag4,treatment,eT3,m_lag,c3log,number,slope of lag
M_PIN(1),m_pin1,treatment,T1,m_pin,c3log,number,slope of pin
M_PIN(1),m_pin1,treatment,T1,m_pin,c4log,number,slope of pin
M_PIN(2),m_pin2,treatment,T2,m_pin,c3log,number,slope of pin
M_PIN(2),m_pin2,treatment,T2,m_pin,c4log,number,slope of pin
M_PIN(3),m_pin3,treatment,T3,m_pin,c3log,number,slope of pin
M_PIN(3),m_pin3,treatment,T3,m_pin,c4log,number,slope of pin
M_PIN(4),m_pin4,treatment,eT3,m_pin,c3log,number,slope of pin
PAR_Den,par_den,site,logger,par_den,c3log,number,par density
PAR_Den,par_den,site,logger,par_den,c4log,number,par density
PAR_Tot,par_tot,site,logger,par_tot,c3log,number,par total average
PAR_Tot,par_tot,site,logger,par_tot,c4log,number,par total average
PAR_Tot_Tot,par_tot_tot,site,logger,par_tot_tot,c3log,number,par total totalized
PAR_Tot_Tot,par_tot_tot,site,logger,par_tot_tot,c4log,number,par total totalized
PIN_B(1),pin_b1,treatment,T1,pin_b,c3log,number,sample spatial average of pin
PIN_B(1),pin_b1,treatment,T1,pin_b,c4log,number,sample spatial average of pin
PIN_B(2),pin_b2,treatment,T2,pin_b,c3log,number,sample spatial average of pin
PIN_B(2),pin_b2,treatment,T2,pin_b,c4log,number,sample spatial average of pin
PIN_B(3),pin_b3,treatment,T3,pin_b,c3log,number,sample spatial average of pin
PIN_B(3),pin_b3,treatment,T3,pin_b,c4log,number,sample spatial average of pin
PIN_B(4),pin_b4,treatment,eT3,pin_b,c3log,number,sample spatial average of pin
PIN_B_Avg(1),pin_b_avg1,treatment,T1,pin_b_avg,c3log,number,spatial average of pin
PIN_B_Avg(1),pin_b_avg1,treatment,T1,pin_b_avg,c4log,number,spatial average of pin
PIN_B_Avg(2),pin_b_avg2,treatment,T2,pin_b_avg,c3log,number,spatial average of pin
PIN_B_Avg(2),pin_b_avg2,treatment,T2,pin_b_avg,c4log,number,spatial average of pin
PIN_B_Avg(3),pin_b_avg3,treatment,T3,pin_b_avg,c3log,number,spatial average of pin
PIN_B_Avg(3),pin_b_avg3,treatment,T3,pin_b_avg,c4log,number,spatial average of pin
PIN_B_Avg(4),pin_b_avg4,treatment,eT3,pin_b_avg,c3log,number,spatial average of pin
PIN_Bdev_Avg(1),pin_bdev_avg1,treatment,T1,pin_bdev_avg,c3log,number,average deviation of pin
PIN_Bdev_Avg(1),pin_bdev_avg1,treatment,T1,pin_bdev_avg,c4log,number,average deviation of pin
PIN_Bdev_Avg(2),pin_bdev_avg2,treatment,T2,pin_bdev_avg,c3log,number,average deviation of pin
PIN_Bdev_Avg(2),pin_bdev_avg2,treatment,T2,pin_bdev_avg,c4log,number,average deviation of pin
PIN_Bdev_Avg(3),pin_bdev_avg3,treatment,T3,pin_bdev_avg,c3log,number,average deviation of pin
PIN_Bdev_Avg(3),pin_bdev_avg3,treatment,T3,pin_bdev_avg,c4log,number,average deviation of pin
PIN_Bdev_Avg(4),pin_bdev_avg4,treatment,eT3,pin_bdev_avg,c3log,number,average deviation of pin
PIN_R(1),pin_r1,treatment,T1,pin_r,c3log,number,running average of pin
PIN_R(1),pin_r1,treatment,T1,pin_r,c4log,number,running average of pin
PIN_R(2),pin_r2,treatment,T2,pin_r,c3log,number,running average of pin
PIN_R(2),pin_r2,treatment,T2,pin_r,c4log,number,running average of pin
PIN_R(3),pin_r3,treatment,T3,pin_r,c3log,number,running average of pin
PIN_R(3),pin_r3,treatment,T3,pin_r,c4log,number,running average of pin
PIN_R(4),pin_r4,treatment,eT3,pin_r,c3log,number,running average of pin
Powerpro_Avg(1),powerpro_avg1,treatment,T1,powerpro_above,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(1),powerpro_avg1,treatment,T1,powerpro_above,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(2),powerpro_avg2,treatment,T2,powerpro_above,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(2),powerpro_avg2,treatment,T2,powerpro_above,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(3),powerpro_avg3,treatment,T3,powerpro_above,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(3),powerpro_avg3,treatment,T3,powerpro_above,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(4),powerpro_avg4,treatment,eT3,powerpro_above,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(5),powerpro_avg5,treatment,T1,powerpro_below,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(5),powerpro_avg5,treatment,T1,powerpro_below,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(6),powerpro_avg6,treatment,T2,powerpro_below,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(6),powerpro_avg6,treatment,T2,powerpro_below,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(7),powerpro_avg7,treatment,T3,powerpro_below,c3log,number,estimated KWH based on duty cycle
Powerpro_Avg(7),powerpro_avg7,treatment,T3,powerpro_below,c4log,number,estimated KWH based on duty cycle
Powerpro_Avg(8),powerpro_avg8,treatment,eT3,powerpro_below,c3log,number,estimated KWH based on duty cycle
Program,program,site,logger,program,c3log,character,program version
Program,program,site,logger,program,c4log,character,program version
Proj_AMB30(1),proj_amb301,treatment,T1,proj_amb30,c3log,number,30 second projected ambient
Proj_AMB30(1),proj_amb301,treatment,T1,proj_amb30,c4log,number,30 second projected ambient
Proj_AMB30(2),proj_amb302,treatment,T2,proj_amb30,c3log,number,30 second projected ambient
Proj_AMB30(2),proj_amb302,treatment,T2,proj_amb30,c4log,number,30 second projected ambient
Proj_AMB30(3),proj_amb303,treatment,T3,proj_amb30,c3log,number,30 second projected ambient
Proj_AMB30(3),proj_amb303,treatment,T3,proj_amb30,c4log,number,30 second projected ambient
Proj_AMB30(4),proj_amb304,treatment,eT3,proj_amb30,c3log,number,30 second projected ambient
Proj_DifB(1),proj_difb1,treatment,T1,proj_difb,c3log,number,projected belowground difference
Proj_DifB(1),proj_difb1,treatment,T1,proj_difb,c4log,number,projected belowground difference
Proj_DifB(2),proj_difb2,treatment,T2,proj_difb,c3log,number,projected belowground difference
Proj_DifB(2),proj_difb2,treatment,T2,proj_difb,c4log,number,projected belowground difference
Proj_DifB(3),proj_difb3,treatment,T3,proj_difb,c3log,number,projected belowground difference
Proj_DifB(3),proj_difb3,treatment,T3,proj_difb,c4log,number,projected belowground difference
Proj_DifB(4),proj_difb4,treatment,eT3,proj_difb,c3log,number,projected belowground difference
Proj_LAG30(1),proj_lag301,treatment,T1,proj_lag30,c3log,number,30 second projected lag
Proj_LAG30(1),proj_lag301,treatment,T1,proj_lag30,c4log,number,30 second projected lag
Proj_LAG30(2),proj_lag302,treatment,T2,proj_lag30,c3log,number,30 second projected lag
Proj_LAG30(2),proj_lag302,treatment,T2,proj_lag30,c4log,number,30 second projected lag
Proj_LAG30(3),proj_lag303,treatment,T3,proj_lag30,c3log,number,30 second projected lag
Proj_LAG30(3),proj_lag303,treatment,T3,proj_lag30,c4log,number,30 second projected lag
Proj_LAG30(4),proj_lag304,treatment,eT3,proj_lag30,c3log,number,30 second projected lag
Proj_PIN30(1),proj_pin301,treatment,T1,proj_pin30,c3log,number,30 second projected pin
Proj_PIN30(1),proj_pin301,treatment,T1,proj_pin30,c4log,number,30 second projected pin
Proj_PIN30(2),proj_pin302,treatment,T2,proj_pin30,c3log,number,30 second projected pin
Proj_PIN30(2),proj_pin302,treatment,T2,proj_pin30,c4log,number,30 second projected pin
Proj_PIN30(3),proj_pin303,treatment,T3,proj_pin30,c3log,number,30 second projected pin
Proj_PIN30(3),proj_pin303,treatment,T3,proj_pin30,c4log,number,30 second projected pin
Proj_PIN30(4),proj_pin304,treatment,eT3,proj_pin30,c3log,number,30 second projected pin
RECORD,record,site,logger,record,c3log,number,loggernet record number
RECORD,record,site,logger,record,c4log,number,loggernet record number
RH,rh,site,logger,rh,c3log,number,relative humidity in %
RH,rh,site,logger,rh,c4log,number,relative humidity in %
RH_Avg,rh_avg,site,logger,rh_avg,c3log,number,relative humidity in %
RH_Avg,rh_avg,site,logger,rh_avg,c4log,number,relative humidity in %
rowid,rowid,key,logger,rowid,c3log,character,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)"
rowid,rowid,key,logger,rowid,c4log,character,"unique id  for each orginal data row contatenate (timestamp, block, tabletype)"
SBtemp,sbtemp,site,logger,sbtemp,c3log,number,sensor body tempeartureof radiometer
SBtemp,sbtemp,site,logger,sbtemp,c4log,number,sensor body tempeartureof radiometer
Soil_Check(1),soil_check1,treatment,T1,soil_check,c3log,number,DIF_B(k)- BTarget(k)
Soil_Check(1),soil_check1,treatment,T1,soil_check,c4log,number,DIF_B(k)- BTarget(k)
Soil_Check(2),soil_check2,treatment,T2,soil_check,c3log,number,DIF_B(k)- BTarget(k)
Soil_Check(2),soil_check2,treatment,T2,soil_check,c4log,number,DIF_B(k)- BTarget(k)
Soil_Check(3),soil_check3,treatment,T3,soil_check,c3log,number,DIF_B(k)- BTarget(k)
Soil_Check(3),soil_check3,treatment,T3,soil_check,c4log,number,DIF_B(k)- BTarget(k)
Soil_Check(4),soil_check4,treatment,eT3,soil_check,c3log,number,DIF_B(k)- BTarget(k)
Soil_Check_Avg(1),soil_check_avg1,treatment,T1,soil_check_avg,c3log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(1),soil_check_avg1,treatment,T1,soil_check_avg,c4log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(2),soil_check_avg2,treatment,T2,soil_check_avg,c3log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(2),soil_check_avg2,treatment,T2,soil_check_avg,c4log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(3),soil_check_avg3,treatment,T3,soil_check_avg,c3log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(3),soil_check_avg3,treatment,T3,soil_check_avg,c4log,number,avg DIF_B(k)- BTarget(k)
Soil_Check_Avg(4),soil_check_avg4,treatment,eT3,soil_check_avg,c3log,number,avg DIF_B(k)- BTarget(k)
Soil_Eveness(1),soil_eveness1,treatment,T1,soil_eveness,c3log,character,message based on stdev of soil temperatures
Soil_Eveness(1),soil_eveness1,treatment,T1,soil_eveness,c4log,character,message based on stdev of soil temperatures
Soil_Eveness(2),soil_eveness2,treatment,T2,soil_eveness,c3log,character,message based on stdev of soil temperatures
Soil_Eveness(2),soil_eveness2,treatment,T2,soil_eveness,c4log,character,message based on stdev of soil temperatures
Soil_Eveness(3),soil_eveness3,treatment,T3,soil_eveness,c3log,character,message based on stdev of soil temperatures
Soil_Eveness(3),soil_eveness3,treatment,T3,soil_eveness,c4log,character,message based on stdev of soil temperatures
Soil_Eveness(4),soil_eveness4,treatment,eT3,soil_eveness,c3log,character,message based on stdev of soil temperatures
Soil_Message(1),soil_message1,treatment,T1,soil_message,c3log,character,alert message for soils
Soil_Message(1),soil_message1,treatment,T1,soil_message,c4log,character,alert message for soils
Soil_Message(2),soil_message2,treatment,T2,soil_message,c3log,character,alert message for soils
Soil_Message(2),soil_message2,treatment,T2,soil_message,c4log,character,alert message for soils
Soil_Message(3),soil_message3,treatment,T3,soil_message,c3log,character,alert message for soils
Soil_Message(3),soil_message3,treatment,T3,soil_message,c4log,character,alert message for soils
Soil_Message(4),soil_message4,treatment,eT3,soil_message,c3log,character,alert message for soils
STATNAME,logger,key,logger,logger,c3log,character,name of logger
STATNAME,logger,key,logger,logger,c4log,character,name of logger
STATNAME(1),logger,key,logger,logger,c3log,character,name of logger
STATNAME(1),logger,key,logger,logger,c4log,character,name of logger
SVP_Avg,svp_avg,site,logger,svp_avg,c3log,number,Saturated vapor pressure( pascals)
SVP_Avg,svp_avg,site,logger,svp_avg,c4log,number,Saturated vapor pressure( pascals)
Table,table,site,logger,table,c3log,character,loggernet table name
Table,table,site,logger,table,c4log,character,loggernet table name
TargetTemp_Avg,targettemp_avg,site,logger,targettemp_avg,c3log,number,Apogee IRP surface temperature reading
TargetTemp_Avg,targettemp_avg,site,logger,targettemp_avg,c4log,number,Apogee IRP surface temperature reading
time2,time2,key,logger,time2,c3log,number,posix time stamp (EST standard)
time2,time2,key,logger,time2,c4log,number,posix time stamp (EST standard)
TIMESTAMP,timestamp,site,logger,timestamp,c3log,number,loggernet timestamp
TIMESTAMP,timestamp,site,logger,timestamp,c4log,number,loggernet timestamp
TmV,tmv,site,logger,tmv,c3log,number,millivolts reading for IRPS
TmV,tmv,site,logger,tmv,c4log,number,millivolts reading for IRPS
TRef(1),tref1,site,logger,tref1,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef(1),tref1,site,logger,tref1,c4log,number,"AM25t  reference (in box temperatures, celcius)"
TRef(2),tref2,site,logger,tref2,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef(2),tref2,site,logger,tref2,c4log,number,"AM25t  reference (in box temperatures, celcius)"
TRef(3),tref3,site,logger,tref3,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef(3),tref3,site,logger,tref3,c4log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(1),tref_avg1,site,logger,tref_avg1,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(1),tref_avg1,site,logger,tref_avg1,c4log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(2),tref_avg2,site,logger,tref_avg2,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(2),tref_avg2,site,logger,tref_avg2,c4log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(3),tref_avg3,site,logger,tref_avg3,c3log,number,"AM25t  reference (in box temperatures, celcius)"
TRef_Avg(3),tref_avg3,site,logger,tref_avg3,c4log,number,"AM25t  reference (in box temperatures, celcius)"
VP_Avg,vp_avg,site,logger,vp_avg,c3log,number,vapor pressure (pascals?)
VP_Avg,vp_avg,site,logger,vp_avg,c4log,number,vapor pressure (pascals?)
VPD_Avg,vpd_avg,site,logger,vpd_avg,c3log,number,vapor pressure deficit (pascals?)
VPD_Avg,vpd_avg,site,logger,vpd_avg,c4log,number,vapor pressure deficit (pascals?)
Wind_Direction_Avg,wind_direction_avg,site,logger,wind_direction_avg,c3log,number,wind direction in degrees (0-360)
Wind_Direction_Avg,wind_direction_avg,site,logger,wind_direction_avg,c4log,number,wind direction in degrees (0-360)
Wind_Direction_deg,wind_direction_deg,site,logger,wind_direction_deg,c3log,number,wind direction in degrees (0-360)
Wind_Direction_deg,wind_direction_deg,site,logger,wind_direction_deg,c4log,number,wind direction in degrees (0-360)
Wind_Speed_Avg,wind_speed_avg,site,logger,wind_speed_avg,c3log,number,wind speed m/s
Wind_Speed_Avg,wind_speed_avg,site,logger,wind_speed_avg,c4log,number,wind speed m/s
Wind_Speed_m_s,wind_speed_m_s,site,logger,wind_speed_m_s,c3log,number,wind speed m/s
Wind_Speed_m_s,wind_speed_m_s,site,logger,wind_speed_m_s,c4log,number,wind speed m/s
